number,value,datetime_start,datetime_complete,duration,params_attn_heads,params_batch_size,params_cnn_channels,params_drop_cls,params_drop_cnn,params_drop_lstm,params_fc_hidden,params_grad_clip,params_label_smoothing,params_lr,params_lstm_hidden,params_lstm_layers,params_weight_decay,state
47,0.6005147269087789,2026-03-18 11:13:01.862080,2026-03-18 11:15:18.275102,0 days 00:02:16.413022,8,64,256,0.27969749454893106,0.10451235730300287,0.1860962951819723,64,1.5948784418734756,0.02559066507362666,0.0010964271332846132,64,1,5.673437317140165e-06,PRUNED
48,9.007720903631684,2026-03-18 11:15:18.301621,2026-03-18 11:22:44.738629,0 days 00:07:26.437008,4,64,256,0.34643444868250084,0.24314443104588246,0.24362007917638648,256,1.3791143629850313,0.004897463465195485,0.0015706056045246433,64,1,2.119945773544788e-05,COMPLETE
49,9.207892479267944,2026-03-18 11:22:44.765960,2026-03-18 11:30:11.200219,0 days 00:07:26.434259,8,64,256,0.26360304751163355,0.22679017315601757,0.36511409520405397,256,1.2499135957561083,0.1906401972367566,0.0006814916245851861,64,1,1.4074680970147922e-06,COMPLETE
50,2.3162710895052903,2026-03-21 01:26:47.842153,2026-03-21 01:28:14.615991,0 days 00:01:26.773838,8,64,256,0.31179311370893786,0.003953019739002167,0.17669780953911157,256,0.90349485053362,0.03167952389271958,0.0004607385449144703,64,1,1.0491777186368647e-06,PRUNED
51,11.03803259937089,2026-03-21 01:28:14.634518,2026-03-21 01:33:20.916357,0 days 00:05:06.281839,8,64,256,0.22013151940352227,0.2828494226441752,0.29478658943119673,256,1.1052281429074775,0.022446747916307276,0.001023886427907122,64,1,2.8423655619254737e-06,COMPLETE
52,8.836145267372034,2026-03-21 01:33:20.933945,2026-03-21 01:36:49.752087,0 days 00:03:28.818142,8,64,256,0.2417769324399663,0.2812595875774025,0.2675968876271454,256,2.0016795096661903,0.008221339502888916,0.0009668791035124413,64,1,3.38670871380175e-06,COMPLETE
53,0.08578781812982557,2026-03-21 01:36:49.770099,2026-03-21 01:37:52.167797,0 days 00:01:02.397698,8,64,256,0.21997409013771257,0.26951692242352104,0.20597969676120872,256,1.3039021170793081,0.02405992042669361,3.6977940097272715e-05,64,1,1.7291946047714196e-06,PRUNED
54,9.722619388046898,2026-03-21 01:37:52.185112,2026-03-21 01:41:20.617080,0 days 00:03:28.431968,8,64,256,0.28531333425244887,0.2850449396204919,0.3288811177898481,256,0.9589716129595711,0.039752018950383,0.0017453396166495312,64,1,1.0648677804556089e-05,COMPLETE
55,9.379468115527596,2026-03-21 01:41:20.634587,2026-03-21 01:44:47.073831,0 days 00:03:26.439244,8,64,256,0.2602772396779263,0.2541423872326191,0.2900108970798511,256,1.1934335286919133,0.02171852312679884,0.0008526886798113311,64,1,6.4495116016626846e-06,COMPLETE
56,11.43837575064341,2026-03-21 01:44:47.091334,2026-03-21 01:48:13.389366,0 days 00:03:26.298032,4,64,256,0.2181513807487929,0.23536487814459636,0.2602165896724333,256,1.4486514054533846,0.05273932150155658,0.001142740185865985,64,1,2.2945430578750977e-06,COMPLETE
57,0.4003431512725193,2026-03-21 01:48:13.407853,2026-03-21 01:49:22.780798,0 days 00:01:09.372945,4,64,256,0.21535379130128618,0.1758003041745813,0.25888457375556384,64,1.4941265788263964,0.05151665514456408,0.00030125025469630314,256,1,1.9900496129637126e-06,PRUNED
58,10.037174721189592,2026-03-21 01:49:22.798299,2026-03-21 01:52:50.054120,0 days 00:03:27.255821,4,64,256,0.2219245174474454,0.19557558259291666,0.3413498000970491,256,1.6164377984914693,0.06850250625856524,0.0006791294805430823,64,1,3.3769893777102472e-06,COMPLETE
59,0.4003431512725193,2026-03-21 01:52:50.071283,2026-03-21 01:53:54.130096,0 days 00:01:04.058813,4,64,256,0.5315036931038344,0.22012895029875496,0.30573325276849644,256,1.3923662407510846,0.030040113268497464,0.0014809380733459066,64,3,2.2744170155768034e-06,PRUNED
60,1.0580497569345153,2026-03-21 01:53:54.156618,2026-03-21 01:54:56.450914,0 days 00:01:02.294296,4,32,256,0.20109714200419365,0.23623903227747547,0.2835160395236118,256,1.81762424133302,0.059534907260666195,0.00023956591249183035,64,1,1.3380939940168763e-06,PRUNED
61,1.0866456963111237,2026-03-21 01:54:56.468944,2026-03-21 01:55:58.748526,0 days 00:01:02.279582,4,64,256,0.3846780493863432,0.2849555740326933,0.3400634437835969,256,1.6470572230409466,0.046210783388046406,0.0006728713049431796,64,1,3.41704759164776e-06,PRUNED
62,10.094366599942807,2026-03-21 01:55:58.766027,2026-03-21 01:59:24.468126,0 days 00:03:25.702099,4,64,256,0.22083316269499595,0.1912031902461287,0.35395047301625604,256,1.5796284183971454,0.05881032688302694,0.0007861652463515668,64,1,1.0046950111878574e-06,COMPLETE
