number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_grad_clip,params_label_smoothing,params_lr,params_weight_decay,state
84,1.7729482413497284,2026-03-21 04:31:44.725276,2026-03-21 04:32:45.576136,0 days 00:01:00.850860,32,256,0.15951718032081455,1.7124772854154664,0.15828768956287537,0.0009605558373070413,3.4177745684217324e-05,PRUNED
85,14.012010294538175,2026-03-21 04:32:45.594310,2026-03-21 04:36:06.826252,0 days 00:03:21.231942,32,256,0.15002921271271685,2.1661994125644113,0.08387052847561018,0.0011972344830279652,2.1107411231154723e-05,COMPLETE
86,0.42893909064912783,2026-03-21 04:36:06.844376,2026-03-21 04:37:06.296194,0 days 00:00:59.451818,32,64,0.1690101777280203,2.015534652457434,0.059766555561376764,0.0007201027434785443,8.569866838679202e-05,PRUNED
87,15.07006005147269,2026-03-21 04:37:06.313202,2026-03-21 04:40:29.202017,0 days 00:03:22.888815,32,256,0.1182291594779781,1.9192714346196658,0.1525139279564277,0.0016446105411854922,0.0001118264421851224,COMPLETE
88,2.0589076351158138,2026-03-21 04:40:29.219018,2026-03-21 04:41:30.270273,0 days 00:01:01.051255,32,256,0.12000507604509583,2.3625405929953427,0.14996513977872952,0.0016579231452913755,0.00010944280779170446,PRUNED
89,2.0589076351158138,2026-03-21 04:41:30.288436,2026-03-21 04:42:30.960383,0 days 00:01:00.671947,32,256,0.12911570327016686,1.9019547329755317,0.0484486591223184,0.0029154729095180708,5.242724291029408e-05,PRUNED
90,1.6585644838432942,2026-03-21 04:42:30.977471,2026-03-21 04:43:31.412590,0 days 00:01:00.435119,32,128,0.10444018919275949,2.080905223566546,0.1382668104098861,0.0014536841267887006,3.372366626404483e-05,PRUNED
91,14.984272233342866,2026-03-21 04:43:31.431682,2026-03-21 04:46:52.513862,0 days 00:03:21.082180,32,256,0.11038525341541745,1.9309075255491583,0.15440345451808302,0.0009244566239175796,0.00017996734789811297,COMPLETE
92,15.813554475264512,2026-03-21 04:46:52.530922,2026-03-21 04:50:15.434807,0 days 00:03:22.903885,32,256,0.11699847377811201,1.9569050111851891,0.17499587479844955,0.0009703232835580424,0.00019441089893924534,COMPLETE
93,15.527595081498427,2026-03-21 04:50:15.451809,2026-03-21 04:53:38.177416,0 days 00:03:22.725607,32,256,0.11949234544548044,1.9321822942252502,0.17644708281135263,0.0010307698655022861,0.0002064402478732252,COMPLETE
94,14.412353445810695,2026-03-21 04:53:38.195457,2026-03-21 04:56:59.615305,0 days 00:03:21.419848,32,256,0.10855694943034537,1.9346771708237467,0.17372474819996206,0.0010558279842083336,0.00021343779703592773,COMPLETE
95,15.842150414641122,2026-03-21 04:56:59.632894,2026-03-21 05:00:21.871455,0 days 00:03:22.238561,32,256,0.11442543832112068,2.051167871297184,0.1534563972544932,0.001346439886051326,0.0005072508577621164,COMPLETE
96,2.1446954532456393,2026-03-21 05:00:21.889045,2026-03-21 05:01:22.917749,0 days 00:01:01.028704,32,256,0.11404342581188907,2.029682041682609,0.17822684744811967,0.0013316864747221183,0.0005255119396547006,PRUNED
97,2.0589076351158138,2026-03-21 05:01:22.935749,2026-03-21 05:02:23.865874,0 days 00:01:00.930125,32,256,0.11109801719896567,1.9959988765466143,0.19010509716155222,0.0022511994131957313,0.0008568017307887891,PRUNED
98,9.722619388046898,2026-03-21 05:02:23.883484,2026-03-21 05:04:34.932990,0 days 00:02:11.049506,32,256,0.10248393203098483,1.9259475625175313,0.15465515595769688,0.0019120074889431272,0.0002793692861473174,PRUNED
99,15.67057477838147,2026-03-21 05:04:34.951520,2026-03-21 05:07:56.002745,0 days 00:03:21.051225,32,256,0.12040997260436574,2.191922167279842,0.17586815922067348,0.0017308641388598643,0.00035682745970073607,COMPLETE
